sim,final_equity,return_pct
522,22017.012321107235,120.17012321107234
523,14777.834841563395,47.77834841563396
524,18037.84276974353,80.3784276974353
525,18037.842769743525,80.37842769743526
526,17160.943042459403,71.60943042459404
527,14059.41859257858,40.5941859257858
528,14059.418592578586,40.59418592578586
529,12107.013315962618,21.070133159626184
530,14777.834841563385,47.77834841563385
531,18037.842769743536,80.37842769743536
532,15532.961136799897,55.329611367998965
533,14777.83484156339,47.7783484156339
534,14777.834841563403,47.77834841563403
535,18037.842769743525,80.37842769743526
536,23142.05026641255,131.42050266412548
537,13375.92775129652,33.759277512965205
538,15532.96113679988,55.32961136799881
539,14059.41859257859,40.594185925785894
540,14777.834841563395,47.77834841563396
541,14059.41859257859,40.594185925785894
542,14059.41859257858,40.5941859257858
543,19928.356844146445,99.28356844146445
544,20946.667471867535,109.46667471867535
545,19928.356844146445,99.28356844146445
546,10425.734924079277,4.257349240792773
547,12107.013315962617,21.070133159626167
548,22017.012321107235,120.17012321107234
549,17160.943042459392,71.60943042459392
550,14777.834841563395,47.77834841563396
551,17160.943042459392,71.60943042459392
552,18037.84276974353,80.3784276974353
553,15532.961136799886,55.32961136799885
554,14059.41859257858,40.5941859257858
555,16326.67330932294,63.2667330932294
556,13375.92775129652,33.759277512965205
557,18959.550823109053,89.59550823109053
558,19928.356844146434,99.28356844146434
559,17160.9430424594,71.609430424594
560,14059.418592578588,40.59418592578587
561,15532.961136799888,55.32961136799888
562,18959.55082310907,89.59550823109072
563,18037.84276974353,80.3784276974353
564,17160.943042459396,71.60943042459395
565,16326.673309322941,63.26673309322941
566,14777.8348415634,47.77834841563399
567,17160.9430424594,71.609430424594
568,12725.664438382022,27.256644383820223
569,22017.01232110724,120.1701232110724
570,14059.418592578575,40.59418592578575
571,16326.673309322945,63.266733093229455
572,18037.84276974352,80.37842769743521
573,15532.961136799888,55.32961136799888
574,19928.356844146445,99.28356844146445
575,18037.84276974353,80.3784276974353
576,17160.9430424594,71.609430424594
577,18037.842769743525,80.37842769743526
578,22017.01232110723,120.17012321107232
579,15532.96113679989,55.3296113679989
580,13375.927751296507,33.75927751296508
581,18959.55082310908,89.59550823109079
582,14777.83484156339,47.7783484156339
583,14777.834841563394,47.778348415633936
584,16326.673309322947,63.26673309322947
585,14777.83484156339,47.7783484156339
586,22017.012321107235,120.17012321107234
587,12107.013315962618,21.070133159626184
588,13375.92775129652,33.759277512965205
589,15532.961136799897,55.329611367998965
590,14777.834841563394,47.778348415633936
591,12725.66443838202,27.256644383820205
592,23142.050266412552,131.42050266412554
593,12725.66443838202,27.256644383820205
594,14777.834841563394,47.778348415633936
595,18037.842769743518,80.37842769743519
596,16326.67330932295,63.2667330932295
597,13375.927751296513,33.75927751296513
598,13375.927751296505,33.75927751296505
599,18959.550823109064,89.59550823109065
600,16326.67330932295,63.2667330932295
601,18037.84276974353,80.3784276974353
602,12107.013315962618,21.070133159626184
603,20946.66747186755,109.4666747186755
604,13375.927751296515,33.75927751296515
605,16326.673309322943,63.26673309322943
606,14059.41859257858,40.5941859257858
607,17160.943042459396,71.60943042459395
608,16326.67330932294,63.2667330932294
609,19928.35684414645,99.28356844146448
610,10958.475117263413,9.584751172634133
611,17160.943042459385,71.60943042459384
612,16326.673309322945,63.266733093229455
